Cell_type,Replicate,siRNA,Treatment,Intersection,HOUR_0 ,HOUR_5,HOUR_8,HOUR_18
Melanoma,4,Scramble,SDF1,1,0,217668,81865,0
Melanoma,4,Scramble,SDF1,2,461112,320286,241757,10175
Melanoma,4,Scramble,SDF1,3,459702,308858,183259,10789
Melanoma,4,Scramble,SDF1,4,529009,370996,271913,11041
Melanoma,4,CXCR7_siRNA,SDF1,1,562219,444301,372955,96052
Melanoma,4,CXCR7_siRNA,SDF1,2,640240,546848,460122,122998
Melanoma,4,CXCR7_siRNA,SDF1,3,511826,426777,379434,94763
Melanoma,4,CXCR7_siRNA,SDF1,4,501224,383429,362561,85000
Melanoma,1,Unstransfected,No_SDF1,1,718482,691607,599518,229991
Melanoma,1,Unstransfected,No_SDF1,2,737791,629952,584839,289455
Melanoma,1,Unstransfected,No_SDF1,3,707540,674096,583610,129477
Melanoma,1,Unstransfected,No_SDF1,4,707266,625266,566179,271421
Melanoma,1,Scramble,No_SDF1,1,656112,634226,536620,229928
Melanoma,1,Scramble,No_SDF1,2,646038,546584,500501,206409
Melanoma,1,Scramble,No_SDF1,3,574097,520033,454441,170573
Melanoma,1,Scramble,No_SDF1,4,593935,504190,472827,163697
Melanoma,1,CXCR4_siRNA,No_SDF1,1,635226,531901,428716,73638
Melanoma,1,CXCR4_siRNA,No_SDF1,2,548167,502568,399964,47964
Melanoma,1,CXCR4_siRNA,No_SDF1,3,677534,525583,417206,22335
Melanoma,1,CXCR4_siRNA,No_SDF1,4,627150,538656,438016,62622
Melanoma,1,Unstransfected,SDF1,1,667663,585993,479326,64388
Melanoma,1,Unstransfected,SDF1,2,698123,589588,507775,15667
Melanoma,1,Unstransfected,SDF1,3,666169,596400,546913,170012
Melanoma,1,Unstransfected,SDF1,4,642016,569856,539019,181626
Melanoma,1,Scramble,SDF1,1,616816,568863,498700,136414
Melanoma,1,Scramble,SDF1,2,589509,543725,475358,158681
Melanoma,1,Scramble,SDF1,3,606470,599112,541350,191125
Melanoma,1,Scramble,SDF1,4,605064,553209,528683,79391
Melanoma,1,CXCR4_siRNA,SDF1,1,519748,507956,452638,82684
Melanoma,1,CXCR4_siRNA,SDF1,2,578848,542275,527808,184709
Melanoma,1,CXCR4_siRNA,SDF1,3,546085,416551,346503,240870
Melanoma,1,CXCR4_siRNA,SDF1,4,621893,504427,407261,26816
Melanoma,2,Unstransfected,No_SDF1,1,614321,495658,426839,258882
Melanoma,2,Unstransfected,No_SDF1,2,675902,612773,440867,253948
Melanoma,2,Unstransfected,No_SDF1,3,610948,525760,386674,140651
