"","Cell_type","Replicate","siRNA","Treatment","Intersection","Time_Period","Values"
"81","Melanocytes",1,"CXCR7_siRNA","SDF1",1,"HOUR_0",662548
"82","Melanocytes",1,"CXCR7_siRNA","SDF1",1,"HOUR_5",501350
"83","Melanocytes",1,"CXCR7_siRNA","SDF1",1,"HOUR_8",304327
"84","Melanocytes",1,"CXCR7_siRNA","SDF1",1,"HOUR_18",131755
"85","Melanocytes",1,"CXCR7_siRNA","SDF1",2,"HOUR_0",686581
"86","Melanocytes",1,"CXCR7_siRNA","SDF1",2,"HOUR_5",542795
"87","Melanocytes",1,"CXCR7_siRNA","SDF1",2,"HOUR_8",369093
"88","Melanocytes",1,"CXCR7_siRNA","SDF1",2,"HOUR_18",109291
"89","Melanocytes",1,"CXCR7_siRNA","SDF1",3,"HOUR_0",635171
"90","Melanocytes",1,"CXCR7_siRNA","SDF1",3,"HOUR_5",408419
"91","Melanocytes",1,"CXCR7_siRNA","SDF1",3,"HOUR_8",257308
"92","Melanocytes",1,"CXCR7_siRNA","SDF1",3,"HOUR_18",243342
"93","Melanocytes",1,"CXCR7_siRNA","SDF1",4,"HOUR_0",674351
"94","Melanocytes",1,"CXCR7_siRNA","SDF1",4,"HOUR_5",565937
"95","Melanocytes",1,"CXCR7_siRNA","SDF1",4,"HOUR_8",456943
"96","Melanocytes",1,"CXCR7_siRNA","SDF1",4,"HOUR_18",133103
"97","Melanocytes",2,"Unstransfected","No_SDF1",1,"HOUR_0",671076
"98","Melanocytes",2,"Unstransfected","No_SDF1",1,"HOUR_5",568503
"99","Melanocytes",2,"Unstransfected","No_SDF1",1,"HOUR_8",537291
"100","Melanocytes",2,"Unstransfected","No_SDF1",1,"HOUR_18",0
"101","Melanocytes",2,"Unstransfected","No_SDF1",2,"HOUR_0",666723
"102","Melanocytes",2,"Unstransfected","No_SDF1",2,"HOUR_5",616245
"103","Melanocytes",2,"Unstransfected","No_SDF1",2,"HOUR_8",566569
"104","Melanocytes",2,"Unstransfected","No_SDF1",2,"HOUR_18",344226
"105","Melanocytes",2,"Unstransfected","No_SDF1",3,"HOUR_0",671922
"106","Melanocytes",2,"Unstransfected","No_SDF1",3,"HOUR_5",519801
"107","Melanocytes",2,"Unstransfected","No_SDF1",3,"HOUR_8",402019
"108","Melanocytes",2,"Unstransfected","No_SDF1",3,"HOUR_18",299021
"109","Melanocytes",2,"Unstransfected","No_SDF1",4,"HOUR_0",660711
"110","Melanocytes",2,"Unstransfected","No_SDF1",4,"HOUR_5",565925
"111","Melanocytes",2,"Unstransfected","No_SDF1",4,"HOUR_8",470180
"112","Melanocytes",2,"Unstransfected","No_SDF1",4,"HOUR_18",241535
