Cell_type,Replicate,siRNA,Treatment,Intersection,HOUR_0,HOUR_5,HOUR_8,HOUR_18
Melanocytes,4,Unstransfected,SDF1,2,545170,505585,460314,369973
Melanocytes,4,Unstransfected,SDF1,3,600363,523180,502181,322011
Melanocytes,4,Unstransfected,SDF1,4,571722,502366,455935,253454
Melanocytes,4,Scramble,SDF1,1,656670,550233,456870,376742
Melanocytes,4,Scramble,SDF1,2,687722,623912,534142,338762
Melanocytes,4,Scramble,SDF1,3,654713,561819,474764,325852
Melanocytes,4,Scramble,SDF1,4,658346,535256,501648,378729
Melanocytes,4,CXCR7_siRNA,SDF1,1,675682,560905,477110,259560
Melanocytes,4,CXCR7_siRNA,SDF1,2,676077,577132,501383,317208
Melanocytes,4,CXCR7_siRNA,SDF1,3,630067,554822,528334,226822
Melanocytes,4,CXCR7_siRNA,SDF1,4,680461,608645,524064,348501
Melanocytes,1,Unstransfected,No_SDF1,1,741887,695935,622087,327207
Melanocytes,1,Unstransfected,No_SDF1,2,741414,692022,592764,280928
Melanocytes,1,Unstransfected,No_SDF1,3,823073,734197,648527,404992
Melanocytes,1,Unstransfected,No_SDF1,4,681153,585592,537937,334086
Melanocytes,1,Scramble,No_SDF1,1,613277,481808,476203,226402
Melanocytes,1,Scramble,No_SDF1,2,614327,532144,489138,314747
Melanocytes,1,Scramble,No_SDF1,3,675517,646106,615351,485740
Melanocytes,1,Scramble,No_SDF1,4,700110,615091,595066,442204
Melanocytes,1,CXCR4_siRNA,No_SDF1,1,651692,620158,575134,439565
Melanocytes,1,CXCR4_siRNA,No_SDF1,2,739390,535186,475695,134441
Melanocytes,1,CXCR4_siRNA,No_SDF1,3,693147,668013,595629,432624
Melanocytes,1,CXCR4_siRNA,No_SDF1,4,631060,534848,504142,377147
Melanocytes,1,Unstransfected,SDF1,1,698542,571172,516476,305303
Melanocytes,1,Unstransfected,SDF1,2,784595,660091,583133,309483
Melanocytes,1,Unstransfected,SDF1,3,755506,639758,579920,359982
Melanocytes,1,Unstransfected,SDF1,4,773929,593304,544173,182563
Melanocytes,1,Scramble,SDF1,1,617776,521814,469472,335957
Melanocytes,1,Scramble,SDF1,2,625381,470179,400603,244034
Melanocytes,1,Scramble,SDF1,3,609527,535744,485034,397659
Melanocytes,1,Scramble,SDF1,4,592520,479228,459452,350581
Melanocytes,1,CXCR4_siRNA,SDF1,1,609830,546305,533017,318524
Melanocytes,1,CXCR4_siRNA,SDF1,2,590717,511907,474449,306339
Melanocytes,1,CXCR4_siRNA,SDF1,3,627854,516347,505514,312364
Melanocytes,1,CXCR4_siRNA,SDF1,4,660566,595858,0,421875
Melanocytes,2,Unstransfected,No_SDF1,1,749053,691560,612989,360442
Melanocytes,2,Unstransfected,No_SDF1,2,722510,633857,533794,321717
Melanocytes,2,Unstransfected,No_SDF1,3,781557,685476,659617,453316
Melanocytes,2,Unstransfected,No_SDF1,4,746025,630136,0,359570
Melanocytes,2,Scramble,No_SDF1,1,608717,594015,543852,499400
Melanocytes,2,Scramble,No_SDF1,2,754932,524933,510520,458655
Melanocytes,2,Scramble,No_SDF1,3,720238,607038,569979,479332
Melanocytes,2,Scramble,No_SDF1,4,747125,617591,519524,231727
Melanocytes,2,CXCR4_siRNA,No_SDF1,1,553841,434326,351241,222724
Melanocytes,2,CXCR4_siRNA,No_SDF1,2,568411,474574,436335,234472
Melanocytes,2,CXCR4_siRNA,No_SDF1,3,609098,354265,285694,49147
Melanocytes,2,CXCR4_siRNA,No_SDF1,4,609768,507650,439070,222658
